"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:53:56 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.491"
"Records Found","2668"
"Records Returned","2668"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18598","spm","","513562","0","52008","SPS GIN AN MPR 100/300","holotype","","","tibia","","1","table","","","Anserimimus planinychus","species","66672","","Anserimimus planinychus","species","66672","72.1","66","34423"
"18599","spm","","513562","0","52008","SPS GIN AN MPR 100/300","holotype","","","fibula","","1","table","","","Anserimimus planinychus","species","66672","","Anserimimus planinychus","species","66672","72.1","66","34423"
"18600","spm","","487439","12435","48932","AMNH 21800","","","","femur","","1","table","","width based on Smith and Galton 1990; length originally given by them as 314","Ornithomimus asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18601","spm","","487441","12437","48933","AMNH 6570","","","","femur","","1","table","","","Ornithomimus asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18602","spm","","487439","12435","48932","AMNH 21801","","","","tibia","","1","table","","width based on Smith and Galton 1990; length originally given by them as 401","Ornithomimus asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18603","spm","","487439","12435","48932","AMNH 6576","","","","tibia","","1","table","","","Ornithomimus asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18604","spm","","487441","12437","48933","AMNH 6570","","","","tibia","","1","table","","","Ornithomimus asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18605","spm","N","","0","","AMNH","","","","tibia","","1","table","","unnumbered specimen","Archaeornithomimus asiaticus","species","57276","","Archaeornithomimus asiaticus","species","57275","","","34423"
"18606","spm","N","","0","","AMNH","","","","tibia","","1","table","","unnumbered specimen","Archaeornithomimus asiaticus","species","57276","","Archaeornithomimus asiaticus","species","57275","","","34423"
"18607","spm","","517533","33991","52468","AMNH 5201","","","","femur","","1","table","","","Dromiceiomimus brevitertius","species","66907","","Dromiceiomimus brevitertius","species","57273","70.6","66","34423"
"18608","spm","","517533","33991","52468","AMNH 5201","","","","tibia","","1","table","","","Dromiceiomimus brevitertius","species","66907","","Dromiceiomimus brevitertius","species","57273","70.6","66","34423"
"18609","spm","N","","0","","TMP","","","","femur","","1","table","","unnumbered specimen","Dromiceiomimus brevitertius","species","66907","","Dromiceiomimus brevitertius","species","57273","","","34423"
"18610","spm","N","","0","","TMP","","","","tibia","","1","table","","unnumbered specimen","Dromiceiomimus brevitertius","species","66907","","Dromiceiomimus brevitertius","species","57273","","","34423"
"18611","spm","N","","0","","TMP","","","","fibula","","1","table","","unnumbered specimen","Dromiceiomimus brevitertius","species","66907","","Dromiceiomimus brevitertius","species","57273","","","34423"
"18612","spm","N","","0","","G.I.DPS 100/11","","","","femur","","1","table","","said to be 665 mm by Osmolska et al. 1972","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","","","34423"
"18613","spm","N","","0","","G.I.DPS 100/11","","","","tibia","","1","table","","said to be 740 mm by Osmolska et al. 1972","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","","","34423"
"18614","spm","N","","0","","","","","","femur","","1","table","","unnumbered specimen","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","","","34423"
"18615","spm","N","","0","","","","","","tibia","","1","table","","unnumbered specimen","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","","","34423"
"18616","spm","N","","0","","","","","","fibula","","1","table","","unnumbered specimen","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","","","34423"
"18617","spm","N","","0","","TMP","","","","femur","","1","table","","unnumbered specimen","Ornithomimus edmontonensis","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18618","spm","N","","0","","TMP","","","","tibia","","1","table","","unnumbered specimen","Ornithomimus edmontonensis","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18619","spm","N","","0","","TMP","","","","fibula","","1","table","","unnumbered specimen","Ornithomimus edmontonensis","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18620","spm","N","","0","","AMNH 5884","","","","femur","","1","table","","","Ornithomimus edmontonensis","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18621","spm","","517542","0","52476","Amer. Mus. No. 5339","","","","femur","","1","table","","length said to be 480 mm by Osborn 1916, who gives width (""antero-posterior diameter of shaft"" at ""mid-length"")","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"18622","spm","","517542","0","52476","Amer. Mus. No. 5339","","","","fibula","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"18623","spm","","517539","0","52473","AMNH 5385","","","","femur","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"18624","spm","","517539","0","52473","AMNH 5385","","","","tibia","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"18625","spm","","489802","0","49356","AMNH 6554","","","","femur","","1","table","","","Alectrosaurus olseni","species","57253","","Alectrosaurus olseni","species","57253","83.5","70.6","34423"
"18626","spm","","489802","0","49356","AMNH 6554","","","","tibia","","1","table","","","Alectrosaurus olseni","species","57253","","Alectrosaurus olseni","species","57253","83.5","70.6","34423"
"18627","spm","N","","0","","TMP 91.36.500","","","","femur","","1","table","","","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18628","spm","N","","0","","TMP 91.36.500","","","","tibia","","1","table","","","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18629","spm","N","","0","","TMP 91.36.500","","","","fibula","","1","table","","","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
