"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:43:37 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"Elapsed Time","1.13"
"Records Found","2399"
"Records Returned","2399"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Alanlara","","sandstone/claystone","99.6","93.5","NE","1","1"
"str","","Alcobaça","","sandstone,coal,claystone/sandstone,""limestone""","155.7","145","PT","16","53"
"str","","Alcobaça","","","157.3","152.1","PT","1","1"
"str","","Aldabra Limestone","","""limestone""","0.126","0.0117","SC","1","2"
"str","","Alfambra","","","8.7","5.333","ES","1","4"
"str","","Aliança","Capianga","mudstone","174.1","145","BR","1","1"
"str","","Allaru Mudstone","","","105.3","93.5","AU","1","2"
"str","","Allenby","","","56","47.8","CA","1","1"
"str","","Allingham","","""limestone"",""siliciclastic""","5.333","3.6","AU","2","17"
"str","","Allueva","A1","","83.5","70.6","ES","1","1"
"str","","Allueva","A2","conglomerate,marl,mudstone","83.5","70.6","ES","10","11"
"str","","Allueva","A3","mudstone","83.5","70.6","ES","2","2"
"str","","Almejas","","","5.333","3.6","MX","2","6"
"str","","Almejas","lower","sandstone/conglomerate","7.246","5.333","MX","2","9"
"str","","Älterer Schlier","","""shale""","23.03","20.44","AT","1","1"
"str","","Alzey","","","33.9","28.1","DE","1","1"
"str","","Ambolafotsy","","claystone/sandstone","93.9","89.8","MG","1","1"
"str","","American Falls Lake Bed E","","","0.126","0.0117","US","1","12"
"str","","Amole Arkose","","sandstone","83.6","72.1","US","1","1"
"str","","Ampthill Clay","","claystone","161.2","155.7","UK","1","1"
"str","","Andaikhudag","","""shale"",""siliciclastic""","132.9","125","MN","3","4"
"str","","Andalhuala","","","6.8","3","AR","2","2"
"str","","Anding","","sandstone","174.1","163.5","CN","1","1"
"str","","Angostura Colorada","","sandstone","83.5","66","AR","6","10"
"str","","Animas","","","72.1","66","US","1","1"
"str","","Ankarafantsika","","sandstone","100.5","93.9","MG","1","1"
"str","","Ankazomihaboka","","sandstone/claystone,claystone/sandstone","89.8","83.6","MG","4","5"
"str","","Anning","","siltstone","163.5","145","CN","3","4"
"str","","Anoual","Lower Anoual","marl","168.3","166.1","MA","1","3"
"str","","Aquia","","","58.7","55.8","US","2","3"
"str","","Aquia","Paspotansa","sandstone","58.7","55.8","US","1","1"
"str","","Aral","","claystone","28.4","23.03","KZ","1","3"
"str","","Arapahoe","","conglomerate","72.1","66","US","5","7"
"str","","Arcabuco","Del Techo","sandstone","163.5","139.8","CO","3","7"
"str","","Arcillas de Morella","","conglomerate,marl,claystone,sandstone,claystone/sandstone,marl/claystone,sandstone/conglomerate,""limestone""","125.45","122.46","ES","27","66"
"str","","Areia do Mastro","","lime mudstone,grainstone","130","125.45","PT","2","7"
"str","","Arén","","sandstone,marl,sandstone/""limestone"",lime mudstone","70.6","66","ES","17","28"
"str","","Arenas de Utrillas","","sandstone","99.6","93.5","ES","2","5"
"str","","Arenisca Aguililla","","sandstone","100.5","66","MX","1","4"
"str","","Argilas de Aveiro","","sandstone,claystone,conglomerate/lime mudstone","72.1","66","PT","3","22"
"str","","Argile à Plicatules","","claystone","125.45","122.46","FR","1","1"
"str","","Argile Ostréenne","","claystone","130","125.45","FR","1","1"
"str","","Argiles d'lignite du Soissonnais","","sandstone","56","47.8","FR","1","1"
"str","","Argiles d'Octeville","","lime mudstone,""limestone""/claystone,claystone","155.7","150.8","FR","3","3"
"str","","Argiles de Châtillon","","","155.7","150.8","FR","1","2"
"str","","Argiles et Grès à Reptiles","","claystone,sandstone","70.6","66","FR","6","13"
"str","","Argiles rutilantes","","sandstone","83.5","70.6","FR","1","5"
"str","","Arhbalou","","dolomite,dolomite/claystone","189.6","183","MA","4","5"
"str","","Aridal","","sandstone","38","33.9","EH","2","2"
"str","","Arno Limestone","","""limestone""","25.2","21.7","NZ","1","2"
"str","","Arroyo Chasicó","","sandstone","10","9","AR","1","1"
"str","","Artoles","","sandstone/conglomerate,sandstone,siltstone,conglomerate","130","125.45","ES","9","29"
"str","","Asagai Sandstone","","sandstone","28.4","23.03","JP","1","1"
"str","","Asencio","","","72.1","66","UY","18","21"
"str","","Asencio","Del Palacio","sandstone","72.1","66","UY","2","5"
"str","","Ash Hollow","Cap Rock","sandstone,ash","13.6","10.3","US","3","9"
"str","","Ashiya","","sandstone","28.1","23.03","JP","1","1"
"str","","Ashley","","""limestone""","33.9","28.1","US","1","1"
"str","","Ashley","Givhans Ferry","","33.9","28.1","US","1","1"
"str","","Ashville","Belle Fourche","mudstone","99.6","93.5","CA","1","2"
"str","","Assises de Croï","","""carbonate""","150.8","145","FR","1","2"
"str","","Astoria","","","20.44","15.97","US","2","3"
"str","","Avezac","","","83.5","70.6","FR","1","3"
"str","","Azóia","","""limestone""","155.7","150.8","PT","5","6"
"str","","Aztec Sandstone","","sandstone","201.3","174.1","US","1","4"
