"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:43:37 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"Elapsed Time","1.13"
"Records Found","2399"
"Records Returned","2399"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Jagua","Jagua Vieja","""limestone""","161.2","155.7","CU","1","1"
"str","","Jaisalmer","Badabag","conglomerate","167.7","164.7","IN","1","1"
"str","","Jaisalmer","Fort","conglomerate","167.7","164.7","IN","1","1"
"str","","Jan Juc","","","28.1","23.03","AU","1","1"
"str","","Javelina","","mudstone,sandstone,siltstone,claystone,conglomerate","70.6","66","US,MX","9","12"
"str","","Javkhlant","","sandstone,mudstone/claystone","86.3","72.1","MN","2","8"
"str","","Jebel Qatrani","","sandstone/mudstone,sandstone,mudstone","33.9","28.1","EG","6","21"
"str","","Jewett","Pyramid Hill","sandstone","28.1","23.03","US","1","1"
"str","","Jiagdihe","Luozuomei","sandstone","93.9","86.3","CN","1","2"
"str","","Jiaguan","Upper","siltstone/sandstone","129.4","100.5","CN","1","2"
"str","","Jianchuan","","sandstone/mudstone,sandstone,mudstone","130","125.45","CN","13","26"
"str","","Jiangdihe","","mudstone","93.9","83.6","CN","2","2"
"str","","Jiangdihe","Luozuomei","sandstone","93.9","86.3","CN","3","4"
"str","","Jibou","","claystone/sandstone,claystone","70.6","66","RO","2","3"
"str","","Jingxing","","mudstone/siltstone","100.5","66","CN","1","1"
"str","","Jinhua","","siltstone,sandstone","100.5","89.8","CN","5","14"
"str","","Jinnobaru","","sandstone","33.9","28.1","JP","1","2"
"str","","Jiufotang","","","145","100.5","CN","1","1"
"str","","Judith River","","sandstone","83.5","70.6","US","1","1"
"str","","Juntura","","","13.6","5.333","US","5","8"
"str","","Kadzi","","sandstone/mudstone","152.1","145","ZW","4","11"
"str","","Kaiparowits","","sandstone,sandstone/mudstone,conglomerate,mudstone,siltstone","83.5","70.6","US","24","27"
"str","","Kaiparowits","Lower Middle","","83.5","70.6","US","1","1"
"str","","Kaiparowits","Middle","mudstone,sandstone/conglomerate","83.5","70.6","US","2","6"
"str","","Kajlâka","","""limestone"",""limestone""/wackestone","70.6","66","BG","2","3"
"str","","Kakanaut","","""siliciclastic"",sandstone","70.6","66","RU","2","16"
"str","","Kakinoura","","","33.9","28.4","JP","1","1"
"str","","Kaladongar","Dingi Hill","sandstone/""limestone""","174.1","168.4","IN","1","1"
"str","","Kalaza","","sandstone/mudstone","152.1","145","CN","1","2"
"str","","Kalazha","","","155.7","145","CN","3","3"
"str","","Kallo Sands","","sandstone","5.333","2.588","BE","1","1"
"str","","Kanarai","","","163.5","100.5","RU","1","1"
"str","","Kanguk","","""shale""/sandstone,siltstone/""shale"",""siliciclastic"",sandstone/mudstone","70.6","66","CA","6","9"
"str","","Kapthurin","","tuff","0.781","0.0117","KE","1","1"
"str","","Karabastau","","""shale""","163.5","157.3","KZ","1","2"
"str","","Karabil","","sandstone","163.5","145","TJ","1","1"
"str","","Karaginskaya","Segendyk","phosphorite/siltstone","28.1","23.03","KZ","1","1"
"str","","Katipiri","","sandstone","0.126","0.0117","AU","3","5"
"str","","Katrol","","sandstone","163.5","145","IN","1","1"
"str","","Kattendijk","","claystone","5.333","3.6","BE","1","6"
"str","","Kauru","","sandstone","55.8","49.5","NZ","1","1"
"str","","Kayenta","Typical Facies","sandstone","201.3","190.8","US","1","1"
"str","","Keasey","middle","","38","33.9","US","1","2"
"str","","Kelvin","","conglomerate","125","100.5","US","1","1"
"str","","Kempsville","","sandstone","0.126","0.0117","US","1","7"
"str","","Kern River","","","13.6","10.3","US","1","1"
"str","","Khadir","Hadibhadang Shale","siltstone/sandstone","170.3","168.3","IN","1","1"
"str","","Khapry","","","5.333","2.588","RU","1","2"
"str","","Khilok","","sandstone","125","113","RU","1","5"
"str","","Khodzhakul","","sandstone/claystone,sandstone","99.6","93.5","UZ","14","42"
"str","","Khodzhaosman","","","125","100.5","KG","5","5"
"str","","Khodzhiabad","","sandstone","130","113","KG","1","2"
"str","","Khok Kruat","","conglomerate,siltstone/sandstone","125","100.5","TH","2","8"
"str","","Khukhuteeg","","mudstone/sandstone","125","99.6","MN","1","1"
"str","","Khuren Dukh","Lower","sandstone/mudstone,sandstone/siltstone,sandstone/claystone","109","99.6","MN","4","9"
"str","","Khuren Dukh","Middle","","109","99.6","MN","1","1"
"str","","Kiklah","","","125","100.5","LY","1","1"
"str","","Kimmeridge Clay","","claystone,mudstone","155.7","145","UK","11","12"
"str","","Kimmeridge Clay","Lower","claystone,""shale"",siltstone","155.7","150.8","UK","11","13"
"str","","Kimmeridge Clay","Upper","""shale""/""limestone""","150.8","145","UK","3","3"
"str","","Kirkwood","Asbury Park","","20.43","15.97","US","1","1"
"str","","Kirkwood","lower","","23.03","15.97","US","1","1"
"str","","Kirtland","","""shale"",sandstone/""shale""","83.5","70.6","US","47","59"
"str","","Kirtland","De-na-zin","siltstone,sandstone,""shale""/sandstone,""siliciclastic"",conglomerate,""shale"",mudstone","83.5","70.6","US","39","75"
"str","","Kirtland","Farmington","""shale""/sandstone,sandstone","83.5","70.6","US","6","8"
"str","","Kirtland","Hunter Wash","""siliciclastic"",mudstone,""shale""","83.5","70.6","US","36","51"
"str","","Kirtland","Naashoibito","sandstone,claystone","70.6","66","US","9","18"
"str","","Kiyokawa","","","2.588","0.0117","JP","1","2"
"str","","Klettgau","Gruhalde","conglomerate/marl,marl","228","208.5","CH","4","8"
"str","","Klondike Mountain","Tom Thumb","mudstone","56","47.8","US","1","1"
"str","","Kokoamu Greensand","","sandstone,""limestone""","25.2","21.7","NZ","7","15"
"str","","Kokoamu Greensand","lower","sandstone","28.1","23.03","NZ","1","1"
"str","","Koktui","","","201.3","174.1","KG","1","1"
"str","","Kootenai","","","125","100.5","US","1","1"
"str","","Korallenkalk","","","161.2","155.7","DE","1","1"
"str","","Koturbulak","","","89.8","83.6","KZ","2","2"
"str","","Koum","Grés de Gaba","conglomerate,sandstone/mudstone,mudstone","125","100.5","CM","4","11"
"str","","Koum","Mbissirri","sandstone/mudstone,sandstone,mudstone","125","100.5","CM","4","9"
"str","","Kowashimizu","","mudstone/sandstone","163.5","100.5","JP","1","4"
"str","","Kromdraai","","siltstone,breccia","3.6","0.0117","ZA","4","14"
"str","","Krosno","","","33.9","28.1","PL","1","1"
"str","","Ksar Metlili","","sandstone","150.8","140.2","MA","7","24"
"str","","Kuangyuan","","","152.1","145","CN","3","4"
"str","","Kuma","","","48.6","37.2","RU","1","1"
"str","","Kunrade","","""limestone""","70.6","66","NL","1","1"
"str","","Kurshab","","sandstone","100.5","93.9","KG","1","1"
"str","","Kuyal'nikian","","","5.333","2.588","UA","1","4"
"str","","Kynyr","","","89.8","83.6","UZ","2","5"
"str","","La Amarga","Piedra Parada","mudstone","130","122.46","AR","1","1"
"str","","La Amarga","Puesto Antigual","sandstone","129.4","122.46","AR","6","11"
"str","","La Bocana Roja","","mudstone","86.3","70.6","MX","4","6"
"str","","La Cabaña","","""limestone""","99.6","93.5","ES","1","1"
"str","","La Colonia","","mudstone,""siliciclastic""","72.1","66","AR","3","6"
"str","","La Colonia","Middle","""siliciclastic""","72.1","66","AR","1","1"
"str","","La Huérguina","","""limestone""/packstone,""limestone""/lignite,siltstone","130","125.45","ES","7","24"
"str","","La Matilde","","sandstone/tuff,sandstone,siltstone/sandstone","166.1","157.3","AR","3","8"
"str","","La Meseta","","conglomerate,""shale""/sandstone,sandstone/mudstone","37.2","33.9","AA","4","5"
"str","","La Meseta","Acantilados II","siltstone","56","47.8","AA","1","1"
"str","","La Meseta","Cucullaea I","sandstone","56","47.8","AA","2","3"
"str","","La Meseta","Cucullaea II","sandstone","37.2","33.9","AA","1","1"
"str","","La Meseta","Submeseta","sandstone","41.3","38","AA","1","5"
"str","","La Meseta","Telm 2","sandstone","56","47.8","AA","1","1"
"str","","La Meseta","Telm 3","sandstone,not reported/sandstone","47.8","41.3","AA","3","3"
"str","","La Meseta","Telm 4","sandstone","47.8","38","AA","2","10"
"str","","La Meseta","Telm 5","sandstone","41.3","33.9","AA","5","22"
"str","","La Meseta","Telm 6","sandstone","41.3","38","AA","1","1"
"str","","La Meseta","Telm 6-7","sandstone","38","33.9","AA","1","1"
"str","","La Meseta","Telm 7","sandstone,conglomerate/mudstone","38","33.9","AA","7","38"
"str","","La Meseta","Unit III","sandstone","38","33.9","AA","2","2"
"str","","La Pedrera de Rúbies","","""limestone""","130","125.45","ES","2","4"
"str","","La Penthiève Beds","","","112.03","109","FR","1","1"
"str","","La Puerta","","sandstone","163.5","100.5","BO","1","4"
"str","","La Quinta","","siltstone,sandstone","180.1","171.6","VE,CO","3","6"
"str","","Ladeiras","","sandstone","132.9","129.4","PT","1","5"
"str","","Laguna de Tagua Tagua","","mudstone","0.126","0.0117","CL","1","14"
"str","","Lagunilla del Plata","","sandstone","0.126","0.0117","AR","1","1"
"str","","Laijia","","","105.3","99.6","CN","2","2"
"str","","Lakota","","sandstone","125","113","US","4","7"
"str","","Lakota","Chilson","","129.4","125","US","2","3"
"str","","Lameta","","""limestone"",sandstone/conglomerate,sandstone,claystone,conglomerate/sandstone,""carbonate"",""limestone""/claystone,""limestone""/sandstone,sandstone/claystone,claystone/sandstone,siltstone","70.6","66","IN","64","115"
"str","","Lameta","Carnosaur Bed","sandstone","72.1","66","IN","1","19"
"str","","Lameta","Green Sandstone","sandstone","72.1","66","IN","2","4"
"str","","Lameta","Lower Limestone","""limestone"",lime mudstone,sandstone,framestone,""limestone""/claystone,conglomerate/""limestone""","72.1","66","IN","8","13"
"str","","Lameta","Mottled Nodular Marl","claystone,sandstone","72.1","66","IN","3","6"
"str","","Lameta","Upper Limestone","sandstone","72.1","66","IN","1","1"
"str","","Lameta","Upper Sandstone","sandstone","72.1","66","IN","1","1"
"str","","Lameta","Upper Sandy Carbonate","""limestone""/sandstone","72.1","66","IN","1","2"
"str","","Lance","","marl,sandstone,""shale"",sandstone/""shale"",mudstone,claystone/siltstone,sandstone/conglomerate,""siliciclastic""","70.6","66","US","122","275"
"str","","Lance","Chiule","","70.6","66","US","1","3"
"str","","Lance","Torrington","""shale"",sandstone/""shale""","70.6","66","US","4","7"
"str","","Landslide Creek","","","100.5","66","US","1","1"
"str","","Laramie","","sandstone,sandstone/""shale"",""shale"",mudstone/sandstone","70.6","66","US","23","35"
"str","","Laramie/Arapahoe","","sandstone","70.6","66","US","1","2"
"str","","Laredo","","sandstone","46.2","40.4","US","1","2"
"str","","Las Chilcas","Pitipeumo","","145","100.5","CL","1","1"
"str","","Las Floras","","siltstone","9","6.8","AR","1","1"
"str","","Las Leoneras","Upper","claystone","189.6","183","AR","1","1"
"str","","Lastres","","sandstone,sandstone/marl,sandstone/conglomerate,marl","157.3","152.1","ES","15","27"
"str","","Lathi","","","201.3","168.3","IN","1","1"
"str","","Lathi","Thaiat","sandstone/siltstone","201.3","168.3","IN","1","2"
"str","","Legetet","","","20.44","15.97","KE","2","3"
"str","","Leidashu","First","mudstone","145","100.5","CN","1","1"
"str","","Lepidotus Beds","","""carbonate""","155.7","150.8","DE","1","1"
"str","","Leticia","","sandstone","41.3","38","AR","1","1"
"str","","Liburnian","","""limestone""","70.6","61.6","SI,IT","2","7"
"str","","Lignites de Simeyrols","","lignite/""limestone""","100.5","93.9","FR","1","1"
"str","","Lijiacun","","mudstone/conglomerate","100.5","66","CN","1","1"
"str","","Lincoln Creek","","""carbonate""","28.1","23.03","US","2","2"
"str","","Lipica","Tomaj Limestone","""limestone""","85.8","70.6","SI","1","1"
"str","","Lisbon","","sandstone/conglomerate","201.3","174.1","ZA","1","1"
"str","","Lissauer Breccia","","","228","208.5","PL","2","2"
"str","","Liushu","","claystone,mudstone","7.75","4.9","CN","3","4"
"str","","Liuyemiao","","","83.6","72.1","CN","1","1"
"str","","Loe-ein","","","163.5","100.5","CN","1","1"
"str","","Lohan Cura","","","122.46","109","AR","1","1"
"str","","Lohan Cura","Cullín Grande","sandstone,mudstone/sandstone","112.03","100.5","AR","4","8"
"str","","Lohan Cura","Puesto Quiroga","siltstone","122.46","109","AR","1","1"
"str","","Lomita Marl","","marl","0.781","0.126","US","1","1"
"str","","London Clay","","claystone","55.8","47.8","UK","10","25"
"str","","London Clay","division D-E","""siliciclastic""","56","47.8","UK","1","2"
"str","","London Clay","Middle Clay","claystone","56","47.8","UK","1","4"
"str","","London Clay","Walton","claystone","56","47.8","UK","2","3"
"str","","Longjiang","","""shale""","125.45","122.46","CN","1","4"
"str","","Longjing","","","105.3","93.9","CN","1","2"
"str","","Lopez de Bertodano","","siltstone/""carbonate"",sandstone,sandstone/siltstone","66","61.6","AA","3","3"
"str","","López de Bertodano","KlB 9","","70.6","66","AA","1","1"
"str","","López de Bertodano","Sandwich Bluff","sandstone","70.6","66","AA","2","2"
"str","","Loreto","","sandstone","37.2","33.9","CL","1","1"
"str","","Los Alamitos","","siltstone/sandstone,siltstone","83.5","66","AR","4","13"
"str","","Los Jumes","","sandstone","145","130","AR","1","1"
"str","","Los Llanos","","sandstone","132.9","93.9","AR","1","1"
"str","","Los Llanos","Upper","sandstone/conglomerate","83.6","72.1","AR","1","5"
"str","","Lourinhã","","sandstone/siltstone,claystone,sandstone","155.7","145","PT","12","25"
"str","","Lourinhã","Porto Novo","","155.7","150.8","PT","1","1"
"str","","Lourinhã","Praia Azul","mudstone,sandstone,claystone/sandstone","155.7","145","PT","7","9"
"str","","Lourinhã","Praia da Amoreira-Porto Novo","sandstone/mudstone,claystone,sandstone,mudstone,lime mudstone,marl/mudstone,siltstone","155.7","145","PT","30","59"
"str","","Lourinhã","Santa Rita-Assenta","sandstone","152.1","145","PT","2","3"
"str","","Löwenstein","","sandstone/marl","215.56","212","DE","1","7"
"str","","Lower Bauxite","","conglomerate/claystone","145","139.8","RO","1","11"
"str","","Lower Chalk","","marl","99.6","93.5","UK","1","1"
"str","","Lower Kimmeridge marls","","marl","157.3","152.1","DE","1","2"
"str","","Lubur Sandstone","","sandstone","145","100.5","KE","2","11"
"str","","Lufeng","","","201.3","190.8","CN","6","8"
"str","","Lufeng","Shawan","sandstone/siltstone,mudstone,sandstone,marl","201.3","199.3","CN","8","20"
"str","","Lufeng","Zhangjiaao","sandstone","199.3","190.8","CN","1","2"
"str","","Lufeng","Zhangjiawa","""siliciclastic"",siltstone,""shale"",siltstone/mudstone","199.3","190.8","CN","18","59"
"str","","Lujan","Guerrero","","0.781","0.012","AR","1","4"
"str","","Luján","Río Salado","","0.0117","0","AR","1","1"
"str","","Lukeino","B","siltstone","7.246","5.333","KE","1","1"
"str","","Lunde","","mudstone","208.5","201.3","","1","1"
"str","","Luohandong","","sandstone/""siliciclastic""","139.8","130","CN","1","5"
"str","","Lushangfen","","sandstone","105.3","99.6","CN","1","1"
"str","","Luxembourg Sandstone","","""carbonate""/claystone","201.3","196.5","LU","1","2"
"str","","Lychnus","","lime mudstone","83.5","66","ES","1","1"
"str","","Maastricht","","chalk","70.6","66","NL,BE","5","5"
"str","","Maastricht","Emael","chalk","70.6","66","BE,NL","4","5"
"str","","Maastricht","Gronsveld","chalk","70.6","66","BE","1","1"
"str","","Maastricht","Meerssen","chalk","70.6","66","NL","1","2"
"str","","Maastricht","Nekum","chalk","70.6","66","NL","2","2"
"str","","Maastricht","Valkenburg","grainstone,chalk","70.6","66","BE","2","3"
"str","","Maboko","","tuff","15.97","13.82","KE","4","10"
"str","","Maevarano","","sandstone,claystone","72.1","66","MG","13","15"
"str","","Maevarano","Anembalemba","sandstone,claystone","72.1","66","MG","40","86"
"str","","Maevarano","Lac Kinkony","claystone/sandstone,sandstone","72.1","66","MG","3","5"
"str","","Maevarano","Masorobe","sandstone","72.1","66","MG","2","2"
"str","","Magnesian Conglomerate","","""limestone""/breccia","208.5","201.3","UK","1","7"
"str","","Magothy","","amber","93.9","89.8","US","1","1"
"str","","Majiacun","","siltstone,mudstone/conglomerate,siltstone/sandstone,mudstone,""siliciclastic""","85.8","70.6","CN","7","17"
"str","","Majiacun","Unit 2","","86.3","83.6","CN","1","1"
"str","","Makah","","siltstone","33.9","28.1","US","2","2"
"str","","Makah","Jansen Creek","sandstone/conglomerate","33.9","23.03","US","4","9"
"str","","Malhada Vermelha","","sandstone","145","125.45","BR","1","1"
"str","","Mampuwordu Sands","","","5.333","2.588","AU","1","2"
"str","","Man Aike","","","56","33.9","CL","1","1"
"str","","Mancos Shale","","""shale"",sandstone/claystone","83.5","70.6","US","2","2"
"str","","Mancos Shale","Buck Tongue","","83.6","72.1","US","1","1"
"str","","Mancos Shale","Ferron Sandstone","","93.9","89.8","US","1","1"
"str","","Mancos Shale","Juana Lopez","grainstone","93.5","89.3","US","1","1"
"str","","Mancos Shale","Lower Shale","","99.6","89.3","US","1","1"
"str","","Mancos/Gullup","","","93.9","86.3","US","1","1"
"str","","Manda Beds","Lifua","""siliciclastic""","247.2","242","TZ","2","2"
"str","","Mandano","","sandstone","2.588","0.0117","JP","1","1"
"str","","Mangchuan","","mudstone","100.5","89.8","CN","4","8"
"str","","Manix","","","0.126","0.0117","US","1","24"
"str","","Manrak","","sandstone/claystone","83.5","66","KZ","2","2"
"str","","Maradah","","","23.03","15.97","LY","1","1"
"str","","Marifil Volcanic Complex","","sandstone","201.3","189.6","AR","1","1"
"str","","Marlbrook Marl","","marl","83.5","70.6","US","1","1"
"str","","Marnes à Belemnopsis latesulcatus","","marl/wackestone","164.7","161.2","FR","1","1"
"str","","Marnes à bryozoaires","","marl","136.4","130","FR","1","1"
"str","","Marnes à Deltoideum delta","","","155.7","150.8","FR","2","2"
"str","","Marnes bleues","","sandstone/marl","109","105.3","FR","1","1"
"str","","Marnes d'Auzas","","marl/sandstone,sandstone/lime mudstone,sandstone/marl","70.6","66","FR","5","14"
"str","","Marnes de Bléville","Harpagodes Marl/Middle","marl","155.7","150.8","FR","1","1"
"str","","Marnes de Châlins","","marl","228","208.5","FR","2","3"
"str","","Marnes de Dives","","claystone,marl","164.7","157.3","FR","6","7"
"str","","Marnes de la Maurine","","marl","72.1","66","FR","1","1"
"str","","Marnes de Villers","","","161.2","155.7","FR","1","1"
"str","","Marnes du Chevain","","""limestone""/marl","164.7","161.2","FR","1","1"
"str","","Marnes irisées supérieures","","marl","228","208.5","FR","6","8"
"str","","Marnes Rouges de Roquelongue","","marl/""limestone"",marl,marl/siltstone","70.6","66","FR","3","4"
"str","","Marnes Rouges Inférieures","","marl,conglomerate,sandstone/conglomerate,marl/siltstone","70.6","66","FR","6","12"
"str","","Marnes Rouges Inférieures","Marnes de la Maurine","sandstone,marl/sandstone,marl/conglomerate,marl","70.6","66","FR","9","20"
"str","","Marnes sableuses d'Audun-le-Tiche","","marl","171.6","168.4","FR","1","1"
"str","","Marno-calcaires jaunes de Gensac","","siltstone","70.6","66","FR","1","1"
"str","","Marshybank","Unit G","sandstone","89.3","85.8","CA","2","2"
"str","","Mason River","","""shale""","83.5","66","CA","1","1"
"str","","Masuk","Lower","sandstone/mudstone","83.5","70.6","US","7","12"
"str","","Masuk","Middle","mudstone/""shale""","83.5","70.6","US","9","18"
"str","","Mata Amarilla","","","93.9","89.8","AR","1","2"
"str","","Matanuska","3","claystone/siltstone","83.5","66","US","1","1"
"str","","Matanuska","4","mudstone","93.5","89.3","US","1","1"
"str","","Mbuga Clays","","claystone","2.588","0","TZ","1","1"
"str","","McDermott","","sandstone,conglomerate,sandstone/""shale""","70.6","66","US","4","4"
"str","","McKay","","sandstone","10.3","4.9","US","1","3"
"str","","McRae","","","83.5","66","US","5","5"
"str","","McRae","Jose Creek","sandstone","83.5","70.6","US","1","1"
"str","","McShan/Eutaw","","","85.8","83.5","US","1","4"
"str","","Mecsek Coal","","sandstone,siltstone","196.5","189.6","HU","4","5"
"str","","Medicine Bow","","""siliciclastic""","70.6","66","US","3","5"
"str","","Meeteetse","","sandstone,mudstone","72.1","66","US","3","5"
"str","","Melovatka","","phosphorite/sandstone","99.6","93.5","RU","1","1"
"str","","Ménaka","","""mixed carbonate-siliciclastic""","72.1","66","ML","1","1"
"str","","Menat","","diatomite","61.6","59.2","FR","1","5"
"str","","Menefee","Cleary Coal","","83.5","70.6","US","5","7"
"str","","Mengyin","","sandstone/siltstone","145","132.9","CN","6","6"
"str","","Menilite","","""shale""","33.9","28.4","PL","1","1"
"str","","Menilite","Rudawka Tractionite","","33.9","28.4","PL","1","1"
"str","","Mercedes","","sandstone","83.6","66","UY","2","4"
"str","","Merchantville","","sandstone","83.5","70.6","US","1","1"
"str","","Mesaverde","","conglomerate/sandstone,sandstone","83.5","70.6","US","3","15"
"str","","Mesaverde","Bowie Shale","coal/sandstone","83.5","70.6","US","4","5"
"str","","Mesilla Valley","","sandstone/""shale""","105.3","99.6","MX","1","1"
"str","","Messel","","""shale"",claystone","48.6","40.4","DE","4","42"
"str","","Mexcala","","sandstone/marl","72.1","66","MX","3","4"
"str","","Middle Keuper","Ansbacher Sandstone","sandstone","237","228","DE","1","1"
"str","","Milk River","","","85.8","83.5","CA","2","2"
"str","","Milk River","Deadhorse Coulee","sandstone","85.8","83.5","CA","5","15"
"str","","Minhe","","claystone,conglomerate/sandstone,sandstone,conglomerate","83.6","66","CN","5","10"
"str","","Miramar","","siltstone","1.2","0.781","AR","3","3"
"str","","Mirambel","","""limestone"",marl,sandstone,sandstone/siltstone,mudstone/sandstone","130","125.45","ES","25","39"
"str","","Miria","","","70.6","66","AU","1","1"
"str","","Misiones","","siltstone/claystone","125","113","PY","1","1"
"str","","Mission Valley","","siltstone","46.2","40.4","US","1","1"
"str","","Mist Mountain","","""shale"",sandstone","152.1","139.8","CA","2","3"
"str","","Mitsuse","","conglomerate","89.3","83.6","JP","1","1"
"str","","Mittlerer Kimmeridge","","lime mudstone/marl","157.3","152.1","DE","1","2"
"str","","Mizdah","","sandstone","100.5","93.9","LY","1","2"
"str","","Mizur","Mizur","siltstone","189.6","183","RU","1","2"
"str","","Mocuio","","","70.6","66","AO","1","2"
"str","","Modelo","","""shale""","11.608","3.6","US","2","4"
"str","","Moenave","Whitmore Point","","208.5","201.3","US","1","1"
"str","","Moenkopi","","siltstone","251.3","247.2","US","1","2"
"str","","Moeraki","","","66","55.8","NZ","1","1"
"str","","Moghara","","sandstone","16.9","15.97","EG","1","1"
"str","","Mogotuin","","mudstone","145","100.5","MN","1","1"
"str","","Moina","","","100.5","66","CO","1","1"
"str","","Molasse Coquilliere","","","15.97","11.608","FR","1","1"
"str","","Molecap Greensand","","sandstone","100.5","89.3","AU","1","1"
"str","","Mont Ventoux","","sandstone","113","100.5","FR","1","1"
"str","","Mont-Lambert","","sandstone","152.1","145","FR","2","9"
"str","","Monte Hermoso","","mudstone,breccia,siltstone,sandstone","6.8","4","AR","6","27"
"str","","Monte Leon","","siltstone/sandstone,""siliciclastic""","23.03","15.97","AR","2","10"
"str","","Montemarcello","","sandstone/claystone","237","228","IT","1","4"
"str","","Monterey","","sandstone/""shale"",diatomite,""shale""/""limestone""","11.62","7.246","US","3","26"
"str","","Monterey","lower","sandstone/""shale"",siltstone","15.97","11.62","US","2","23"
"str","","Montezuma","","","0.3","0.012","US","1","2"
"str","","Moon-Airel","","claystone/""limestone""","208.5","199.3","FR","1","1"
"str","","Moorabool Viaduct Sand","","sandstone","5.333","2.588","AU","1","1"
"str","","Morella","","","130","125.45","ES","1","1"
"str","","Moreno Hill","Lower","mudstone,claystone,sandstone/siltstone,siltstone","93.5","89.3","US","6","9"
"str","","Morillon","","dolomite","155.7","150.8","FR","1","4"
"str","","Morrison","","mudstone,sandstone/mudstone,siltstone/""limestone"",lime mudstone/wackestone,claystone,sandstone,mudstone/sandstone,mudstone/siltstone,siltstone/sandstone,sandstone/siltstone,siltstone/claystone,""limestone"",""siliciclastic"",sandstone/""shale"",mudstone/claystone,sandstone/""limestone"",""limestone""/claystone,gravel,siltstone,conglomerate,""limestone""/mudstone,grainstone/siltstone,conglomerate/sandstone","150.8","89.8","US","135","327"
"str","","Morrison","Brushy Basin","sandstone/claystone,mudstone,sandstone/mudstone,claystone,sandstone,mudstone/conglomerate,mudstone/lime mudstone,siltstone,mudstone/sandstone,""limestone"",sandstone/siltstone,claystone/sandstone,conglomerate,siltstone/sandstone,claystone/""limestone"",conglomerate/""shale"",""siliciclastic""","150.8","145","US","142","485"
"str","","Morrison","Indian Fort","sandstone/mudstone,mudstone","152.1","145","US","4","5"
"str","","Morrison","Jackpile Sandstone","sandstone","157.3","145","US","1","2"
"str","","Morrison","Lake Como","sandstone,""limestone"",sandstone/claystone,""shale""/sandstone,marl/""limestone"",mudstone","157.3","145","US","12","73"
"str","","Morrison","Recapture","","157.3","145","US","2","2"
"str","","Morrison","Salt Wash","sandstone,mudstone/sandstone,mudstone,sandstone/mudstone,sandstone/claystone,sandstone/siltstone,conglomerate/sandstone,claystone/""shale""","155.7","145","US","39","64"
"str","","Morrison","Talking Rocks","claystone,mudstone","157.3","145","US","6","16"
"str","","Morrison","Tidwell","sandstone,sandstone/siltstone","161.2","152.1","US","4","4"
"str","","Morrison","Unit B","lime mudstone","157.3","145","US","6","12"
"str","","Morrison","Westwater Canyon","mudstone,sandstone","157.3","145","US","2","2"
"str","","Moskovoretskaya","Meshchera","claystone/sandstone","167.7","164.7","RU","1","1"
"str","","Mosquerela","","","100.5","93.9","ES","1","1"
"str","","Mpandi","","sandstone","201.3","174.1","ZW","8","10"
"str","","Mugher Mudstone","","mudstone,sandstone","152.1","145","ET","3","5"
"str","","Muhroni Agglomerates","","sandstone","28.1","23.03","KE","1","1"
"str","","Mulholland","","","10.3","4.9","US","1","3"
"str","","Mulichinco","","sandstone","139.8","132.9","AR","1","6"
"str","","Muluk","Profile C","sandstone","3.6","2.588","EG","1","1"
"str","","Münder Mergel","","""limestone""","152.1","145","DE","2","6"
"str","","Murtoi","","sandstone","139.8","132.9","RU","1","1"
"str","","Murtoi","Mogoito","sandstone","139.8","132.9","RU","2","18"
"str","","Muschelkalk","","""limestone""","247.2","242","DE","1","1"
"str","","Nachukui","Apak","sandstone/mudstone","5.333","2.588","KE","1","3"
"str","","Nachukui","Kaiyumung","sandstone/mudstone","5.333","2.588","KE","1","1"
"str","","Nacimiento","Ojo Encino","siltstone","63.3","61.7","US","1","1"
"str","","Naknek","","","157.3","145","US","1","1"
"str","","Naknek","Snug Harbor Siltstone","sandstone","163.5","145","US","1","1"
"str","","Nam Phong","","""siliciclastic"",siltstone/sandstone","228","201.3","TH","3","3"
"str","","Nam Phong","upper","sandstone","190.8","174.1","TH","1","1"
"str","","Namba","","claystone/siltstone,claystone,mudstone","28.4","23.03","AU","12","26"
"str","","Nanchao","","","86.3","72.1","CN","1","1"
"str","","Nanjemoy","Potapaco","","55.8","50.3","US","1","27"
"str","","Nanushuk","","sandstone","105.3","93.5","US","6","7"
"str","","Nanushuk","Niakogon Tongue","sandstone","99.6","93.5","US","1","1"
"str","","Naran Bulak","Bumban","gravel","55.8","48.6","MN","2","10"
"str","","Naran Bulak","Naran","","58.7","55.8","MN","2","2"
"str","","Naran Bulak","Zhigden","","58.7","55.8","MN","1","2"
"str","","Naturita","","sandstone,mudstone/sandstone","99.6","93.5","US","6","10"
"str","","Nawata","Lower Nawata","mudstone/sandstone","11.62","5.333","KE","1","9"
"str","","Nawata","Upper Nawata & Lower Nawata","sandstone/mudstone","11.62","5.333","KE","1","1"
